stock_id,symbol,date,open,high,low,close,volume,50_day_MA,200_day_MA
1,AIG,2017-08-04,66.17,66.23,64.79,65.08,5074352,,
2,AIG,2017-08-03,66.08,67.3,65.1,66.06,8492625,,
3,AIG,2017-08-02,65.29,65.94,65.1,65.9,3848466,,
4,AIG,2017-08-01,65.73,65.74,65.28,65.48,3261731,,
5,AIG,2017-07-31,-,65.65,-,65.45,3154255,,
6,AIG,2017-07-28,65.25,65.52,65.06,65.27,2838484,,
7,AIG,2017-07-27,65.17,66.02,65.09,65.17,4289310,,
8,AIG,2017-07-26,65.31,65.48,65.01,65.19,4458889,,
9,AIG,2017-07-25,64.94,65.42,64.91,65.29,4960007,,
10,AIG,2017-07-24,64.2,64.62,64.05,64.53,2928040,,
11,AIG,2017-07-21,64.16,64.28,63.86,64.2,3542745,,
12,AIG,2017-07-20,64.22,64.35,63.81,64.23,3488528,,
13,AIG,2017-07-19,63.92,64.19,63.73,64.19,2871741,,
14,AIG,2017-07-18,63.83,64.08,63.52,63.87,3980905,,
15,AIG,2017-07-17,64,64.22,63.53,64.05,3466313,,
16,AIG,2017-07-14,63.8,64.24,63.49,64.11,2767924,,
17,AIG,2017-07-13,63.36,64.29,63.18,64.13,5507908,,
18,AIG,2017-07-12,62.91,63.59,62.79,63.19,2686582,,
19,AIG,2017-07-11,63.14,63.27,62.73,62.91,2883370,,
20,AIG,2017-07-10,63.08,63.3,62.98,63.07,3140565,,
21,AIG,2017-07-07,63.23,63.44,62.98,63.35,3360686,,
22,AIG,2017-07-06,62.78,63.79,62.77,63.08,6088044,,
23,AIG,2017-07-05,63.4,63.55,62.46,62.78,7148950,,
24,AIG,2017-07-03,62.82,63.91,62.82,63.29,3229139,,
25,AIG,2017-06-30,63.67,63.69,62.28,62.52,7731564,,
26,AIG,2017-06-29,64.31,64.53,63.25,63.5,4376298,,
27,AIG,2017-06-28,63.67,64.15,63.67,63.84,3792383,,
28,AIG,2017-06-27,63.26,64,63.21,63.41,4986988,,
29,AIG,2017-06-26,63.22,63.65,63.09,63.18,3839835,,
30,AIG,2017-06-23,63.18,63.36,62.81,63.02,8461768,,
31,AIG,2017-06-22,63,63.28,62.83,63.05,2749433,,
32,AIG,2017-06-21,63.89,63.94,63.16,63.22,4468211,,
33,AIG,2017-06-20,63.8,63.92,63.33,63.39,3907526,,
